"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65664","Auth Signup Test: GMC","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","64421","Auth Signup Test: CHEVROLET","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","54231","Auth Signup Test: BMW","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","5706","Auth Forgot Password Test: PORSCHE","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","11662","Auth Forgot Password Test: DVH","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","36392","Auth Signup Test: CHRYSLER","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","15619","Auth Forgot Password Test: MOTORCYCLEVIN","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","19558","Auth Forgot Password Test: HONDA","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","16234","Auth Forgot Password Test: RAM","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","63897","Auth Signup Test: GM","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","45021","Auth Signup Test: MINI","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","48457","Auth Signup Test: SUBARU","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","43910","Auth Signup Test: MITSUBISHI","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","64984","Auth Signup Test: FORDVIN","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","8899","Auth Forgot Password Test: GMC","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","39643","Auth Signup Test: PORSCHE","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","44413","Auth Signup Test: INSTANTVINREPORTS","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","14957","Auth Signup Test: FORD","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","17358","Auth Forgot Password Test: INSTANTVINREPORTS","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","50072","Auth Signup Test: INFINITI","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","40232","Auth Signup Test: AUDI","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","40250","Auth Signup Test: HYUNDAI","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","20315","Auth Forgot Password Test: CD","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","38544","Auth Signup Test: TOYOTA","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","49793","Auth Signup Test: CD","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","14889","Auth Forgot Password Test: VEHICLEHISTORY_EU","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","22393","Auth Signup Test: DODGE","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","4667","Auth Forgot Password Test: HYUNDAI","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","62934","Auth Signup Test: LINCOLN","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
"","40957","Auth Signup Test: RAM","","2026-09-12","passed","2026-09-12","Global Signup & Login Tests","global_auth_flow.spec.ts","",""
